37
0 6 2 3 | 25 25
6|-2
1|-2
1 6 3 2 | 25 75
0|2
6|12
7|-2
2 6 3 1 | 25 125
1|3
7|-2
8|-2
3 6 3 2 | 25 175
2|4
8|-2
9|-2
4 6 3 3 | 25 225
3|5
9|-2
10|-2
5 6 3 2 | 25 275
4|-2
10|-2
11|-2
6 6 3 3 | 63 50
0|13
1|12
7|-2
7 6 3 3 | 63 100
6|8
2|13
1|14
8 6 3 1 | 63 150
7|9
2|15
3|14
9 6 3 1 | 63 200
8|10
3|16
4|15
10 6 3 1 | 63 250
9|11
4|17
5|16
11 6 3 2 | 63 300
10|-2
5|-2
17|-2
12 6 3 3 | 101 25
6|-2
13|-2
18|-2
13 6 3 1 | 101 75
12|14
6|19
7|18
14 6 3 1 | 101 125
13|15
8|19
7|20
15 6 3 2 | 101 175
14|16
8|21
9|20
16 6 3 2 | 101 225
15|17
9|22
10|21
17 6 3 3 | 101 275
16|-2
10|23
11|22
18 6 3 2 | 139 50
12|25
13|24
19|-2
19 6 3 1 | 139 100
18|20
13|26
14|25
20 6 3 3 | 139 150
19|21
14|27
15|26
21 6 3 2 | 139 200
20|22
15|28
16|27
22 6 3 3 | 139 250
21|23
16|29
17|28
23 6 3 1 | 139 300
22|-2
17|-2
29|-2
24 6 3 2 | 177 25
18|-2
25|-2
30|-2
25 6 3 1 | 177 75
24|26
18|31
19|30
26 6 3 2 | 177 125
25|27
19|32
20|31
27 6 3 2 | 177 175
26|28
20|33
21|32
28 6 3 1 | 177 225
27|29
21|34
22|33
29 6 3 1 | 177 275
28|-2
22|35
23|34
30 6 3 1 | 215 50
24|-2
25|-2
31|-2
31 6 3 2 | 215 100
30|32
25|-2
26|-2
32 6 3 1 | 215 150
31|33
26|-2
27|-2
33 6 3 2 | 215 200
32|34
27|-2
28|-2
34 6 3 3 | 215 250
33|35
28|-2
29|-2
35 6 2 3 | 215 300
34|-2
29|-2
36 6 0 0 | 720 720
